Sample	Number_Input_Reads	Average_Mapped_Length	Number_Unique_Mapped	Percent_Unique_Mapped	Number_Multi_Mapped	Percent_Multi_Mapped	Number_Too_Many_Multi_Mapped	Percent_Too_Many_Multi_Mapped	Percent_Unmapped_Mismatches	Percent_Unmapped_Too_Short	Percent_Unmapped_Other	Number_Chimeric_Reads	Percent_Chimeric_Reads
05-11-Final-8ul	35529777	191.93	23559507	66.31	5761541	16.22	29355	0.08	0.00	17.39	0.00	0	0.00
5	26420166	190.73	17247041	65.28	4747968	17.97	23025	0.09	0.00	16.66	0.00	0	0.00
6	30962315	180.61	17266011	55.76	4928935	15.92	30828	0.10	0.00	28.21	0.00	0	0.00
8	27227728	190.08	17520223	64.35	5387901	19.79	20317	0.07	0.00	15.78	0.01	0	0.00
Ae_Cho_2	20520644	179.59	11596030	56.51	3145970	15.33	29569	0.14	0.00	28.01	0.00	0	0.00
Ae_Cho_3	23694733	181.94	13708291	57.85	4087454	17.25	28841	0.12	0.00	24.77	0.00	0	0.00
Ae_Chu_2	25181563	179.30	14775571	58.68	2837409	11.27	25913	0.10	0.00	29.92	0.03	0	0.00
Ae_Gae_2	20668376	179.29	11843476	57.30	2798633	13.54	24403	0.12	0.00	28.93	0.11	0	0.00
Ae_Gae_3	19178884	177.72	10352331	53.98	3313360	17.28	32452	0.17	0.00	28.49	0.09	0	0.00
Ae_Hu_2	18349436	180.84	10222184	55.71	3153791	17.19	28478	0.16	0.00	26.95	0.00	0	0.00
Ae_Hu_3	20875769	186.18	13197949	63.22	3390124	16.24	20047	0.10	0.00	20.44	0.00	0	0.00
Ae_Yeong_2	23189402	180.53	13850588	59.73	3362293	14.50	26580	0.11	0.00	25.66	0.00	0	0.00
Ae_Yeong_3	23923621	181.05	13882491	58.03	3835655	16.03	42420	0.18	0.00	25.75	0.01	0	0.00
