Sample	Number_Input_Reads	Average_Mapped_Length	Number_Unique_Mapped	Percent_Unique_Mapped	Number_Multi_Mapped	Percent_Multi_Mapped	Number_Too_Many_Multi_Mapped	Percent_Too_Many_Multi_Mapped	Percent_Unmapped_Mismatches	Percent_Unmapped_Too_Short	Percent_Unmapped_Other	Number_Chimeric_Reads	Percent_Chimeric_Reads
05-11-Final-8ul	35529777	192.24	24728570	69.60	4495209	12.65	30023	0.08	0.00	17.66	0.00	0	0.00
5	26420166	190.41	17603963	66.63	4205021	15.92	26247	0.10	0.00	17.35	0.00	0	0.00
6	30962315	181.34	17511435	56.56	4708415	15.21	27661	0.09	0.00	28.14	0.00	0	0.00
8	27227728	190.51	18385643	67.53	4403117	16.17	20447	0.08	0.00	16.22	0.01	0	0.00
Ae_Cho_2	20520644	180.54	11796755	57.49	2864609	13.96	33063	0.16	0.00	28.39	0.00	0	0.00
Ae_Cho_3	23694733	183.08	14105317	59.53	3567547	15.06	31209	0.13	0.00	25.28	0.00	0	0.00
Ae_Chu_2	25181563	179.77	14899621	59.17	2681680	10.65	27224	0.11	0.00	30.04	0.04	0	0.00
Ae_Gae_2	20668376	180.11	12029408	58.20	2578015	12.47	26024	0.13	0.00	29.07	0.13	0	0.00
Ae_Gae_3	19178884	179.08	10584503	55.19	2942586	15.34	34721	0.18	0.00	28.91	0.37	0	0.00
Ae_Hu_2	18349436	181.94	10509915	57.28	2796057	15.24	29615	0.16	0.00	27.32	0.00	0	0.00
Ae_Hu_3	20875769	186.84	13655659	65.41	2865236	13.73	23406	0.11	0.00	20.75	0.00	0	0.00
Ae_Yeong_2	23189402	181.45	13765779	59.36	3071075	13.24	29731	0.13	0.00	27.27	0.00	0	0.00
Ae_Yeong_3	23923621	181.86	14092604	58.91	3421160	14.30	46052	0.19	0.00	26.59	0.01	0	0.00
