Sample	Number_Input_Reads	Average_Mapped_Length	Number_Unique_Mapped	Percent_Unique_Mapped	Number_Multi_Mapped	Percent_Multi_Mapped	Number_Too_Many_Multi_Mapped	Percent_Too_Many_Multi_Mapped	Percent_Unmapped_Mismatches	Percent_Unmapped_Too_Short	Percent_Unmapped_Other	Number_Chimeric_Reads	Percent_Chimeric_Reads
05-11-Final-8ul	35529777	190.94	19559299	55.05	5451630	15.34	4789935	13.48	0.00	16.10	0.02	0	0.00
5	26420166	189.82	11488042	43.48	8188537	30.99	3136715	11.87	0.00	13.63	0.02	0	0.00
8	27227728	189.40	14167308	52.03	5625717	20.66	3306774	12.14	0.00	15.13	0.03	0	0.00
Ae_Cho_2	20520644	179.22	10591258	51.61	2974221	14.49	993964	4.84	0.00	29.02	0.03	0	0.00
Ae_Cho_3	23694733	181.25	12232801	51.63	3742780	15.80	1570262	6.63	0.00	25.93	0.02	0	0.00
Ae_Chu_2	25181563	179.36	13662965	54.26	3126501	12.42	852060	3.38	0.00	29.87	0.07	0	0.00
Ae_Hu_2	18349436	179.95	9022558	49.17	2998222	16.34	1200004	6.54	0.00	27.93	0.02	0	0.00
Ae_Hu_3	20875769	185.65	11605176	55.59	3404111	16.31	1614614	7.73	0.00	20.33	0.04	0	0.00
Ae_Yeong_2	23189402	180.49	12377017	53.37	3414541	14.72	958268	4.13	0.00	27.75	0.02	0	0.00
Ae_Yeong_3	23923621	180.31	12120035	50.66	4202017	17.56	1325543	5.54	0.00	26.21	0.03	0	0.00
